Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
8/31/2017,63900,15101,PA,Pittsburgh,Allegheny,Hampton Township,4114,229300,-0.00087146,-0.005637467,0.031488979,0.049023868,0.02698294,2017-03,2017-Q1,231600,-0.009930915,2017-02
8/31/2017,88947,71201,LA,Monroe,Ouachita,Monroe,4115,159300,0.002517306,0.017241379,0.074898785,0.036591263,0.006909598,2017-08,2017-Q3,159300,0,2017-08
8/31/2017,69749,28147,NC,Charlotte,Rowan,Salisbury,4116,158200,0.005082592,0.01086262,0.066756575,0.03407032,0.00328225,2017-08,2017-Q3,158200,0,2017-08
8/31/2017,62661,12553,NY,New York,Orange,New Windsor,4117,212300,0.010952381,0.022147328,0.078760163,0.016312954,-0.030873686,2007-01,2007-Q1,299400,-0.290915164,2003-09
8/31/2017,74308,37334,TN,,Lincoln,Fayetteville,4118,106400,-0.001876173,0.010446344,0.151515152,0.032672676,0.022709453,2017-06,2017-Q2,106800,-0.003745318,2017-06
8/31/2017,58273,1108,MA,Springfield,Hampden,Springfield,4119,146100,0.002057613,0.014583333,0.061002179,0.037563744,-0.005831772,2006-11,2006-Q4,157400,-0.071791614,2005-09
8/31/2017,93471,80550,CO,Greeley,Weld,Windsor,4120,351800,0.003995434,0.018529241,0.067030634,0.086362024,0.041616852,2017-08,2017-Q3,351800,0,2017-08
8/31/2017,62478,12208,NY,Albany,Albany,Albany,4121,180000,-0.002770083,-0.023861171,0.01010101,0.000891267,-0.007615505,2007-10,2007-Q4,195100,-0.077396207,2006-02
8/31/2017,71516,31401,GA,Savannah,Chatham,Savannah,4122,243200,0.00330033,0.018852116,0.089605735,0.075512279,0.019139324,2017-08,2017-Q3,243200,0,2017-08
8/31/2017,71176,30528,GA,,White,Cleveland,4123,147500,-0.00202977,0.010273973,0.136363636,0.05793594,0.008224523,2009-02,2009-Q1,148500,-0.006734007,2009-01
8/31/2017,94851,85259,AZ,Phoenix,Maricopa,Scottsdale,4124,603500,0,-0.013405264,0.022361511,0.03411858,-0.016466311,2006-03,2006-Q1,729800,-0.173061113,2005-04
8/31/2017,74520,37862,TN,Sevierville,Sevier,Sevierville,4125,185500,0.005420054,0.01532567,0.074739282,0.043260212,-0.001973028,2007-03,2007-Q1,195600,-0.051635992,2006-08
8/31/2017,94435,84070,UT,Salt Lake City,Salt Lake,Sandy,4126,243900,0.002878289,0.01119403,0.083518436,0.083806042,-0.001423801,2008-05,2008-Q2,257000,-0.050972763,2007-05
8/31/2017,77044,44144,OH,Cleveland,Cuyahoga,Brooklyn,4127,88600,0.004535147,0.01489118,0.097893432,0.041499546,-0.013694904,2005-09,2005-Q3,115900,-0.235547886,1998-01
8/31/2017,72520,33301,FL,Miami-Fort Lauderdale,Broward,Fort Lauderdale,4128,506700,-0.000591716,0.004559873,0.009161522,0.087776371,-0.000334887,2006-07,2006-Q3,567100,-0.106506789,2005-07
8/31/2017,67174,22180,VA,Washington,Fairfax,Vienna,4129,642200,0.000155739,0.001715801,0.01277401,0.031294248,0.01561887,2017-01,2017-Q1,649100,-0.010630103,2016-11
8/31/2017,91251,76106,TX,Dallas-Fort Worth,Tarrant,Fort Worth,4130,76700,-0.009043928,-0.001302083,-0.021683673,0.081248707,0.009326832,2016-08,2016-Q3,78400,-0.021683673,2016-06
8/31/2017,94729,85013,AZ,Phoenix,Maricopa,Phoenix,4131,282300,0.001774308,0.014008621,0.066490366,0.129294992,0.008534679,2017-08,2017-Q3,282300,0,2017-08
8/31/2017,60665,7424,NJ,New York,Passaic,Little Falls,4132,363000,0.011987733,0.039816671,0.038329519,0.030215254,-0.012366267,2006-08,2006-Q3,435100,-0.165709032,2004-11
8/31/2017,82103,55102,MN,Minneapolis-St Paul,Ramsey,Saint Paul,4133,206000,0.007827789,0.022332506,0.090524087,0.086111152,0.007378154,2017-08,2017-Q3,206000,0,2017-08
8/31/2017,70236,28804,NC,Asheville,Buncombe,Asheville,4134,372000,0.008950366,0.026490066,0.093474427,0.081006934,0.021982884,2017-08,2017-Q3,372000,0,2017-08
8/31/2017,94641,84663,UT,Provo,Utah,Springville,4135,238700,0,-0.00125523,0.080579448,0.086435993,0.00878906,2017-06,2017-Q2,239000,-0.00125523,2017-06
8/31/2017,77124,44310,OH,Akron,Summit,Akron,4136,60400,0.006666667,0.025466893,0.025466893,0.01927863,-0.024997489,2005-06,2005-Q2,79700,-0.242158093,1997-11
8/31/2017,72533,33314,FL,Miami-Fort Lauderdale,Broward,Davie,4137,194500,0.013020833,0.046824543,0.092083099,0.141853472,,2017-08,2017-Q3,194500,0,2017-08
8/31/2017,99201,97333,OR,Corvallis,Benton,Corvallis,4138,305900,0.00295082,0.01324942,0.08745112,0.061290386,0.016860835,2017-08,2017-Q3,305900,0,2017-08
8/31/2017,72048,32536,FL,Crestview-Fort Walton Beach-Destin,Okaloosa,Crestview,4139,165500,0.006079027,0.012232416,0.042848141,0.028222496,-0.010755355,2006-01,2006-Q1,204200,-0.189520078,2005-03
8/31/2017,96447,91602,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,4140,752500,-0.003575212,-0.007517805,0.0119688,0.076921855,0.004676191,2017-05,2017-Q2,758200,-0.007517805,2017-03
8/31/2017,90777,75225,TX,Dallas-Fort Worth,Dallas,Dallas,4141,1212200,0.004724409,0.006977903,0.034741784,0.073698087,,2017-01,2017-Q1,1241300,-0.023443164,2016-11
8/31/2017,82040,55014,MN,Minneapolis-St Paul,Anoka,Lino Lakes,4142,234800,-0.002548853,-0.026937422,0.048682448,0.069246315,0.002242052,2017-05,2017-Q2,241300,-0.026937422,2017-03
8/31/2017,99067,97071,OR,Salem,Marion,Woodburn,4143,230300,0.007877462,0.03785489,0.167257983,0.119278726,0.014460412,2017-08,2017-Q3,230300,0,2017-08
